car_brand,car_name,year,km_driven,fuel,transmission,price,city
Honda,Honda BrioS MT,2012,"74,425kms",Petrol,Manual,₹2.27 Lakh,pune
Maruti,Maruti Alto 800LXi,2015,"82,574kms",Petrol,Manual,₹2.36 Lakh,pune
Tata,Tata Nexon EVEmpowered Plus LR,2023,"20,500kms",Electric,Automatic,₹12.50 Lakh,pune
Hyundai,Hyundai i20Magna Optional 1.2,2013,"86,274kms",Petrol,Manual,₹2.26 Lakh,pune
Hyundai,Hyundai i10Magna 1.1,2012,"55,912kms",Petrol,Manual,₹2.22 Lakh,pune
Hyundai,Hyundai EONMagna,2015,"69,000kms",Petrol,Manual,₹2.14 Lakh,pune
Mini Cooper,2019Mini Cooper Countryman  -2021Cooper S,2018,"33,500kms",Petrol,Automatic,₹23 Lakh,pune
Volkswagen,Volkswagen Polo1.2 MPI Highline,2014,"1,24,334kms",Petrol,Manual,₹2.20 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"48,230kms",Petrol,Manual,₹2.62 Lakh,pune
Renault,Renault KWIDRXT,2015,"72,270kms",Petrol,Manual,₹2.25 Lakh,pune
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack BSVI,2022,"1,20,000kms",Diesel,Automatic,₹18.75 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"75,474kms",Petrol,Manual,₹2.43 Lakh,pune
Maruti,Maruti Alto 800LXi,2017,"38,356kms",Petrol,Manual,₹2.78 Lakh,pune
Hyundai,Hyundai i20Sportz Petrol,2012,"45,225kms",Petrol,Manual,₹2.07 Lakh,pune
Toyota,Toyota Innova CrystaLeadership Edition,2020,"88,000kms",Diesel,Manual,₹19.51 Lakh,pune
Toyota,Toyota EtiosV,2014,"81,689kms",Petrol,Manual,₹2.36 Lakh,pune
Maruti,Maruti Alto 800VXI,2016,"48,554kms",Petrol,Manual,₹2.51 Lakh,pune
Nissan,Nissan SunnyXL,2012,"1,25,352kms",Petrol,Manual,₹2.28 Lakh,pune
Renault,Renault KigerRXZ,2023,"15,000kms",Petrol,Manual,₹6.50 Lakh,pune
Maruti,Maruti Wagon RLXI CNG,2014,"1,03,754kms",CNG,Manual,₹2.95 Lakh,pune
Honda,Honda AmazeSX i-VTEC,2014,"1,39,533kms",Petrol,Manual,₹2.11 Lakh,pune
Renault,Renault KWIDRXL,2017,"31,480kms",Petrol,Manual,₹2.32 Lakh,pune
Hyundai,Hyundai i201.4 Asta AT with AVN,2011,"80,000kms",Petrol,Automatic,₹2.41 Lakh,pune
Hyundai,Hyundai EONSportz,2015,"58,542kms",Petrol,Manual,₹2.28 Lakh,pune
Honda,Honda BrioS MT,2012,"74,425kms",Petrol,Manual,₹2.27 Lakh,pune
Maruti,Maruti Alto 800LXi,2015,"82,574kms",Petrol,Manual,₹2.36 Lakh,pune
Mahindra,Mahindra XUV500W10 2WD,2016,"95,000kms",Diesel,Manual,₹8.50 Lakh,pune
Hyundai,Hyundai i10Sportz 1.1L,2014,"91,078kms",Petrol,Manual,₹2.34 Lakh,pune
Maruti,Maruti Alto 800VXI,2015,"1,12,473kms",Petrol,Manual,₹2.04 Lakh,pune
Maruti,Maruti Alto 800LXi,2018,"33,318kms",Petrol,Manual,₹2.92 Lakh,pune
Tata,Tata AltrozXZA DCT,2023,"15,300kms",Petrol,Automatic,₹9 Lakh,pune
Toyota,Toyota EtiosV,2014,"81,689kms",Petrol,Manual,₹2.36 Lakh,pune
Maruti,Maruti Alto 800VXI,2016,"48,554kms",Petrol,Manual,₹2.51 Lakh,pune
Maruti,Maruti Wagon RLXI BSVI,2012,"54,588kms",Petrol,Manual,₹2.31 Lakh,pune
Hyundai,Hyundai VernaVTVT 1.6 AT SX Option,2018,"20,000kms",Petrol,Automatic,₹7.50 Lakh,pune
Hyundai,Hyundai i10Magna 1.2,2011,"64,080kms",Petrol,Manual,₹2.18 Lakh,pune
Maruti,Maruti Alto 800LXi,2015,"58,663kms",Petrol,Manual,₹2.28 Lakh,pune
Hyundai,Hyundai i10Sportz,2012,"55,000kms",Petrol,Manual,₹2.15 Lakh,pune
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2022,"46,400kms",Petrol,Automatic,₹12.75 Lakh,pune
Honda,Honda BrioS MT,2012,"68,000kms",Petrol,Manual,₹2.20 Lakh,pune
Skoda,Skoda Rapid1.6 MPI AT Elegance,2012,"82,000kms",Petrol,Automatic,₹2.29 Lakh,pune
Honda,Honda City1.5 E MT,2011,"1,23,000kms",Petrol,Manual,₹2.80 Lakh,pune
Tata,Tata NexonCreative Plus S Diesel AMT,2025,"10,000kms",Diesel,Automatic,₹12.60 Lakh,pune
Maruti,Maruti SX4ZXI MT BSIV,2011,"41,000kms",Petrol,Manual,₹2.25 Lakh,pune
Hyundai,Hyundai i10Magna,2013,"77,331kms",Petrol,Manual,₹2.30 Lakh,pune
Mahindra,Mahindra XyloE8,2011,"77,000kms",Diesel,Manual,₹2.60 Lakh,pune
Hyundai,Hyundai i20Sportz 1.2,2013,"1,14,000kms",Petrol,Manual,₹2.45 Lakh,pune
Hyundai,Hyundai i20Asta 1.4 CRDi (Diesel),2010,"1,21,621kms",Diesel,Manual,₹2.95 Lakh,pune
Maruti,Maruti Wagon RLXI CNG,2012,"1,10,000kms",CNG,Manual,₹2.75 Lakh,pune
Maruti,Maruti Wagon RLXI BS IV,2011,"81,000kms",Petrol,Manual,₹2.15 Lakh,pune
Nissan,Nissan SunnyXL CVT,2016,"60,000kms",Petrol,Automatic,₹2.95 Lakh,pune
Hyundai,Hyundai EONMagna Plus,2015,"23,000kms",Petrol,Manual,₹2.35 Lakh,pune
Maruti,2013Maruti Alto K10 -2014 VXI,2010,"56,000kms",Petrol,Manual,₹2.35 Lakh,pune
Hyundai,Hyundai i10Asta 1.2,2008,"73,000kms",Petrol,Manual,₹2.35 Lakh,pune
Renault,Renault KWIDRXT Optional,2019,"1,34,076kms",Petrol,Manual,₹2.50 Lakh,pune
Skoda,Skoda Fabia1.2 MPI Active Plus,2012,"93,000kms",Petrol,Manual,₹2.25 Lakh,pune
Hyundai,Hyundai i20Era 1.2,2012,"75,000kms",Petrol,Manual,₹2.65 Lakh,pune
Honda,Honda BrioS MT,2013,"86,715kms",Petrol,Manual,₹2.30 Lakh,pune
Ford,Ford Ecosport1.5 Petrol Trend BSIV,2019,"92,000kms",Petrol,Manual,₹4.80 Lakh,pune
Mahindra,Mahindra XyloE8,2011,"77,000kms",Diesel,Manual,₹2.60 Lakh,pune
Volkswagen,Volkswagen Jetta1.9 Highline TDI,2010,"91,000kms",Diesel,Automatic,₹2.91 Lakh,pune
Honda,Honda BrioS MT,2013,"86,715kms",Petrol,Manual,₹2.30 Lakh,pune
Hyundai,Hyundai Xcent1.2 Kappa S,2016,"1,20,000kms",Petrol,Manual,₹3.15 Lakh,pune
Tata,Tata Tigor1.2 Revotron XT,2018,"74,443kms",Petrol,Manual,₹3.05 Lakh,pune
Hyundai,Hyundai SantroSportz CNG BSIV,2019,"1,00,156kms",CNG,Manual,₹3.01 Lakh,pune
Maruti,Maruti CiazAT ZXi,2016,"1,03,629kms",Petrol,Automatic,₹5.77 Lakh,pune
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2016,"90,000kms",Petrol,Automatic,₹6.25 Lakh,pune
Tata,Tata TigorXZA Plus,2020,"49,631kms",Petrol,Automatic,₹5.29 Lakh,pune
Tata,Tata NexonXZ Plus (O) Diesel,2017,"22,517kms",Diesel,Manual,₹5.70 Lakh,pune
Maruti,Maruti DzireZXI Plus,2018,"1,19,456kms",Petrol,Manual,₹5.67 Lakh,pune
