car_brand,car_name,year,km_driven,fuel,transmission,price,city
Maruti,Maruti CiazVXi Plus,2015,"64,000kms",Petrol,Manual,₹4.65 Lakh,delhi-ncr
Maruti,Maruti Wagon RCNG LXI,2022,"35,000kms",CNG,Manual,₹4.85 Lakh,delhi-ncr
Hyundai,Hyundai AlcazarSignature DCT,2024,"1,682kms",Petrol,Automatic,₹19.90 Lakh,delhi-ncr
Maruti,Maruti Swift DzireVXI BSVI,2020,"50,000kms",Petrol,Manual,₹5.40 Lakh,delhi-ncr
Ford,Ford MustangV8,2017,"24,000kms",Petrol,Automatic,₹76.75 Lakh,delhi-ncr
Hyundai,Hyundai Verna1.4 VTVT,2016,"20,000kms",Petrol,Manual,₹4.95 Lakh,delhi-ncr
Kia,Kia CarnivalLimousine Plus,2021,"1,00,000kms",Diesel,Automatic,₹24.25 Lakh,delhi-ncr
MG,MG GlosterSavvy 7-Str,2022,"8,200kms",Diesel,Automatic,₹31 Lakh,delhi-ncr
Mercedes-Benz,Mercedes-Benz S-ClassS 350 CDI,2016,"8,300kms",Diesel,Automatic,₹22.50 Lakh,delhi-ncr
Honda,Honda AmazeS Petrol BSIV,2018,"53,000kms",Petrol,Manual,₹3.90 Lakh,delhi-ncr
Hyundai,Hyundai i20Magna Diesel,2021,"57,000kms",Diesel,Manual,₹6.85 Lakh,delhi-ncr
Hyundai,Hyundai i20Sportz 1.2,2014,"52,000kms",Petrol,Manual,₹2.20 Lakh,delhi-ncr
Honda,Honda CivicZX BSIV,2019,"50,000kms",Petrol,Automatic,₹11.25 Lakh,delhi-ncr
Mahindra,Mahindra TharLX 4WD Hard Top AT BSVI,2023,"31,000kms",Petrol,Automatic,₹12.50 Lakh,delhi-ncr
Maruti,Maruti CiazAlpha Automatic BSIV,2017,"75,000kms",Petrol,Automatic,₹5.35 Lakh,delhi-ncr
Mercedes-Benz,Mercedes-Benz E-ClassE 220D,2017,"58,000kms",Diesel,Automatic,₹22.90 Lakh,delhi-ncr
BMW,BMW 5 Series530Li,2024,"27,000kms",Petrol,Automatic,₹64 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 E Plus,2020,"28,000kms",Petrol,Manual,₹7.50 Lakh,delhi-ncr
Toyota,Toyota Innova Crysta2.4 GX 7 STR AT,2020,"25,000kms",Diesel,Automatic,₹17.50 Lakh,delhi-ncr
Audi,Audi A430 TFSI Technology,2017,"65,000kms",Petrol,Automatic,₹17.50 Lakh,delhi-ncr
