,car_brand,car_name,year,km_driven,fuel,transmission,price,city
1083,Maruti,Maruti Wagon RVXI,2016,"99,195kms",Petrol,Manual,₹3.26 Lakh,Hyderabad
1084,Honda,Honda CitySV MT,2014,"86,729kms",Petrol,Manual,₹4.41 Lakh,Hyderabad
1085,Ford,Ford Ecosport1.5 TDCi Ambiente BSIV,2013,"1,16,483kms",Diesel,Manual,₹3.92 Lakh,Hyderabad
1086,Maruti,Maruti Alto K10VXI Plus,2023,"1,806kms",Petrol,Manual,₹4.58 Lakh,Hyderabad
1087,Maruti,Maruti Alto 800VXI,2021,"52,523kms",Petrol,Manual,₹3.25 Lakh,Hyderabad
1088,Maruti,Maruti Wagon RVXI,2016,"99,195kms",Petrol,Manual,₹3.26 Lakh,Hyderabad
1089,Maruti,Maruti Ignis1.2 Sigma BSIV,2023,"40,498kms",Petrol,Manual,₹4.37 Lakh,Hyderabad
1090,Ford,Ford Ecosport1.5 Ti VCT AT Titanium BSIV,2016,"84,066kms",Petrol,Automatic,₹5.33 Lakh,Hyderabad
1091,Maruti,Maruti BalenoDelta Diesel,2017,"65,948kms",Diesel,Manual,₹4.91 Lakh,Hyderabad
1092,Volkswagen,Volkswagen Ameo1.5 TDI Highline,2016,"1,01,543kms",Diesel,Manual,₹3.25 Lakh,Hyderabad
1093,Maruti,Maruti SwiftVDI Optional,2017,"48,231kms",Diesel,Manual,₹4.35 Lakh,Hyderabad
1094,Ford,Ford FigoTitanium Diesel,2019,"1,21,543kms",Diesel,Manual,₹4.75 Lakh,Hyderabad
1095,Maruti,Maruti Wagon RVXI AMT Opt 1.2,2021,"53,371kms",Petrol,Automatic,₹4.73 Lakh,Hyderabad
1096,Toyota,Toyota EtiosGD,2016,"1,20,000kms",Diesel,Manual,₹4.50 Lakh,Hyderabad
1097,Renault,Renault KWID1.0 RXT,2023,"4,776kms",Petrol,Manual,₹4.70 Lakh,Hyderabad
