car_brand,car_name,year,km_driven,fuel,transmission,price,city
Skoda,Skoda Rapid1.5 TDI Ambition BSIV,2017,"1,70,000kms",Diesel,Manual,₹6 Lakh,jaipur
Maruti,Maruti ErtigaVDI,2015,"95,000kms",Diesel,Manual,₹5.25 Lakh,jaipur
Hyundai,Hyundai i201.2 Asta,2018,"64,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Hyundai,Hyundai i20Petrol Spotz,2019,"56,000kms",Petrol,Manual,₹5.65 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI Elegance,2010,"67,000kms",Diesel,Automatic,₹5.99 Lakh,jaipur
Hyundai,Hyundai i20Sportz Plus BSIV,2019,"1,00,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Honda,Honda Brio1.2 S MT,2016,"55,000kms",Petrol,Manual,₹3.21 Lakh,jaipur
Hyundai,Hyundai i201.2 Asta,2018,"47,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz GLC200,2021,"90,000kms",Petrol,Automatic,₹37 Lakh,jaipur
Volkswagen,Volkswagen VentoPetrol Highline,2011,"80,000kms",Petrol,Manual,₹1.80 Lakh,jaipur
Nissan,Nissan MagniteXV,2023,"17,993kms",Petrol,Manual,₹6.21 Lakh,jaipur
Tata,Tata SafariAccomplished Plus Dark 6S AT,2023,"39,933kms",Diesel,Automatic,₹17.95 Lakh,jaipur
Maruti,Maruti Vitara BrezzaZDi Plus,2019,"58,000kms",Diesel,Manual,₹7.90 Lakh,jaipur
Maruti,Maruti SwiftVDI,2011,"90,000kms",Diesel,Manual,₹1.60 Lakh,jaipur
Hyundai,Hyundai i10Sportz 1.1L,2015,"63,000kms",Petrol,Manual,₹2.75 Lakh,jaipur
Kia,Kia SeltosGTX Plus S Diesel AT,2023,"59,095kms",Diesel,Automatic,₹15.75 Lakh,jaipur
Mahindra,Mahindra XUV700AX7 Diesel AT BSVI,2022,"1,06,000kms",Diesel,Automatic,₹18.50 Lakh,jaipur
Maruti,Maruti Alto K10VXI Plus,2023,"4,932kms",Petrol,Manual,₹3.95 Lakh,jaipur
Honda,Honda Cityi VTEC CVT VX,2016,"45,716kms",Petrol,Automatic,₹4.94 Lakh,jaipur
Tata,Tata Tiago1.2 Revotron XZ,2017,"65,432kms",Petrol,Manual,₹3.36 Lakh,jaipur
Honda,Honda Cityi-VTEC CVT VX,2018,"41,960kms",Petrol,Automatic,₹5.80 Lakh,jaipur
Mahindra,Mahindra XUV500W8 2WD,2012,"1,36,000kms",Diesel,Manual,₹3.62 Lakh,jaipur
Tata,Tata AltrozXZ Plus Dark Edition Diesel BSVI,2022,"73,000kms",Diesel,Manual,₹6.50 Lakh,jaipur
Maruti,Maruti BalenoAlpha CVT,2019,"39,000kms",Petrol,Automatic,₹6.25 Lakh,jaipur
Maruti,Maruti SwiftVXI,2015,"73,731kms",Petrol,Manual,₹3.45 Lakh,jaipur
Hyundai,Hyundai CretaSX (O) Diesel AT,2025,"13,000kms",Diesel,Automatic,₹19 Lakh,jaipur
Honda,Honda AmazeVX Petrol,2022,"34,195kms",Petrol,Manual,₹6.20 Lakh,jaipur
Maruti,Maruti SwiftLXI BSIV,2014,"44,634kms",Petrol,Manual,₹3.69 Lakh,jaipur
Honda,Honda CityV MT,2016,"49,030kms",Petrol,Manual,₹5.40 Lakh,jaipur
Maruti,Maruti SwiftVXI Optional,2016,"50,000kms",Petrol,Manual,₹4 Lakh,jaipur
Ford,Ford FreestyleTitanium Petrol BSIV,2018,"1,28,009kms",Petrol,Manual,₹3.10 Lakh,jaipur
Nissan,Nissan KicksXV Premium Option D Dual Tone,2019,"98,840kms",Diesel,Manual,₹4.80 Lakh,jaipur
Volkswagen,Volkswagen VirtusGT Plus DSG ES,2022,"23,012kms",Petrol,Automatic,₹15.28 Lakh,jaipur
Maruti,Maruti Alto 800VXI,2023,"52,000kms",Petrol,Manual,₹3.80 Lakh,jaipur
Tata,Tata Tiago1.2 Revotron XZ,2017,"65,432kms",Petrol,Manual,₹3.36 Lakh,jaipur
Honda,Honda Cityi-VTEC CVT VX,2018,"41,960kms",Petrol,Automatic,₹5.80 Lakh,jaipur
Maruti,Maruti Ciaz1.4 AT Zeta,2019,"74,181kms",Petrol,Automatic,₹6.73 Lakh,jaipur
Honda,Honda Cityi VTEC CVT VX,2017,"68,322kms",Petrol,Automatic,₹5.35 Lakh,jaipur
Maruti,Maruti Wagon R StingrayVXI,2017,"69,000kms",Petrol,Manual,₹3.25 Lakh,jaipur
Maruti,Maruti IgnisZeta BSVI,2022,"64,000kms",Petrol,Manual,₹5.49 Lakh,jaipur
Volkswagen,Volkswagen VirtusHighline BSVI,2023,"33,792kms",Petrol,Manual,₹9.95 Lakh,jaipur
Volkswagen,Volkswagen VirtusHighline BSVI,2023,"33,792kms",Petrol,Manual,₹9.95 Lakh,jaipur
Maruti,Maruti Wagon R StingrayVXI,2017,"69,000kms",Petrol,Manual,₹3.25 Lakh,jaipur
Maruti,Maruti Vitara BrezzaZXI,2020,"71,046kms",Petrol,Manual,₹6.10 Lakh,jaipur
