car_brand,car_name,year,km_driven,fuel,transmission,price,city
Honda,Honda Cityi VTEC VX,2017,"75,935kms",Petrol,Manual,₹6.80 Lakh,chennai
Hyundai,Hyundai Creta1.6 E,2018,"65,333kms",Petrol,Manual,₹6.80 Lakh,chennai
Hyundai,Hyundai Creta1.6 CRDi SX Option,2016,"85,000kms",Diesel,Manual,₹7.50 Lakh,chennai
Honda,Honda Cityi VTEC VX,2017,"75,935kms",Petrol,Manual,₹6.80 Lakh,chennai
Hyundai,Hyundai VenueS,2021,"48,000kms",Petrol,Manual,₹6.75 Lakh,chennai
Audi,Audi A635 TDI,2017,"43,000kms",Diesel,Automatic,₹28 Lakh,chennai
MG,MG AstorSharp CVT BSVI,2022,"25,000kms",Petrol,Automatic,₹13.65 Lakh,chennai
Audi,Audi Q52.0 TDI,2012,"70,000kms",Diesel,Automatic,₹15 Lakh,chennai
Hyundai,Hyundai Tucson2.0 Dual VTVT 2WD AT GLS,2018,"65,000kms",Petrol,Automatic,₹11.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz S-ClassS 350 d,2021,"39,000kms",Diesel,Automatic,₹1.08 Crore,chennai
Maruti,Maruti BalenoZeta BSVI,2022,"30,402kms",Petrol,Manual,₹6.65 Lakh,chennai
Hyundai,Hyundai i20Petrol CVT Asta,2018,"37,000kms",Petrol,Automatic,₹6.25 Lakh,chennai
MG,MG HectorSharp DCT,2020,"78,178kms",Petrol,Automatic,₹10.81 Lakh,chennai
Honda,Honda CityZX CVT,2022,"31,701kms",Petrol,Automatic,₹11.77 Lakh,chennai
Audi,Audi Q335 TDI Quattro Premium,2014,"1,20,000kms",Diesel,Automatic,₹10.80 Lakh,chennai
BMW,BMW 5 Series520d Sport Line,2018,"50,000kms",Diesel,Automatic,₹29.50 Lakh,chennai
Hyundai,Hyundai VenueE Diesel BSIV,2019,"44,795kms",Diesel,Manual,₹6.25 Lakh,chennai
BMW,BMW 3 Series GTLuxury Line,2019,"69,000kms",Diesel,Automatic,₹25 Lakh,chennai
Mercedes-Benz,Mercedes-Benz AMG A 354MATIC BSVI,2022,"13,100kms",Petrol,Automatic,₹47 Lakh,chennai
Volkswagen,Volkswagen VirtusTopline,2023,"62,486kms",Petrol,Manual,₹12.21 Lakh,chennai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI Style,2017,"70,000kms",Diesel,Automatic,₹23 Lakh,chennai
BMW,BMW 3 Series GTLuxury Line,2019,"69,000kms",Diesel,Automatic,₹25 Lakh,chennai
Hyundai,Hyundai VenueE Diesel BSIV,2019,"44,795kms",Diesel,Manual,₹6.25 Lakh,chennai
Mercedes-Benz,Mercedes-Benz AMG A 354MATIC BSVI,2022,"13,100kms",Petrol,Automatic,₹47 Lakh,chennai
Volkswagen,Volkswagen VirtusTopline,2023,"62,486kms",Petrol,Manual,₹12.21 Lakh,chennai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI Style,2017,"70,000kms",Diesel,Automatic,₹23 Lakh,chennai
BMW,BMW 5 Series520d Luxury Line,2016,"47,000kms",Diesel,Automatic,₹23 Lakh,chennai
Hyundai,Hyundai Creta1.6 SX,2019,"80,086kms",Petrol,Manual,₹10.73 Lakh,chennai
MG,MG Hector PlusSharp CVT,2022,"61,851kms",Petrol,Automatic,₹13.65 Lakh,chennai
Volkswagen,Volkswagen Taigun1.5 TSI GT Plus DSG,2021,"79,090kms",Petrol,Automatic,₹11.63 Lakh,chennai
Honda,Honda CityV,2023,"37,937kms",Petrol,Manual,₹10.97 Lakh,chennai
Maruti,Maruti XL6Alpha BSVI,2022,"36,000kms",Petrol,Manual,₹11.25 Lakh,chennai
Hyundai,Hyundai Creta1.4 EX Diesel,2020,"60,000kms",Diesel,Manual,₹11.50 Lakh,chennai
Hyundai,Hyundai CretaSX IVT BSVI,2021,"59,000kms",Petrol,Automatic,₹12.70 Lakh,chennai
Volkswagen,Volkswagen Passat2.0 TDI AT Highline,2018,"1,41,000kms",Diesel,Automatic,₹13 Lakh,chennai
Kia,Kia SonetGTX Plus Turbo iMT BSVI,2022,"35,000kms",Petrol,Manual,₹11.50 Lakh,chennai
